,TF-IDF
data,0.00760432754858421
contar,0.00759329795434581
entidad,0.00759329795434581
color,0.00759329795434581
proviene,0.00758234364802676
2013,0.007554910834984603
recuerda,0.007539259190710116
realizaron,0.007507688343468955
tratado,0.007486980963974121
noroeste,0.007476726618256129
fútbol,0.007416539577753349
entró,0.007416539577753349
inmediato,0.007416539577753349
retirado,0.007396968607826553
disposición,0.0073776334384577395
2012,0.007366813890500995
enviados,0.0073490605831735955
haber,0.007330482024151647
bases,0.007330290782718365
cobro,0.007275263689786088
política,0.0072720726763905
hugo,0.007266273192072607
vinculada,0.007257332780957173
pacto,0.00724844190145935
cara,0.0072396000077720206
mismo,0.007238639048144013
diego,0.007230806563060334
intervención,0.007222061039266119
héctor,0.007213362916917598
llamar,0.007213362916917598
cuál,0.007213362916917598
capaz,0.00720471168494424
podían,0.0071961068404965646
escuela,0.0071875478887707565
claramente,0.007179034342837945
gómez,0.007170565723477962
continente,0.007162141559017482
lograron,0.007153761385172393
debía,0.0071371311882206506
aprobación,0.0071371311882206506
empezó,0.0071371311882206506
salvadoreña,0.007120671560397474
entregó,0.007104379038280141
calidad,0.007096294388211282
mañana,0.007088250262874301
ubicada,0.007080246258029942
dinero,0.007072992007080131
conversación,0.007072281975457455
blanca,0.007072281975457455
activo,0.007064357022835697
clan,0.007056471013627185
ésta,0.007033042865504488
ingresar,0.007025308876344837
investigando,0.007017611980800928
raíces,0.006979671687849201
encarcelados,0.006979671687849201
35,0.00697219009087386
reducido,0.006942607692954895
controla,0.006928018504799629
viaje,0.006920773347371188
mesa,0.006906380428970293
exterior,0.006899232089112669
evidencias,0.0068921154493141994
ventas,0.006885030229661295
envíos,0.006885030229661295
encontraba,0.006870952949529143
pasos,0.006843163516704964
potencial,0.006829447196926253
mejores,0.00682263275082882
registro,0.006809090057425084
lugar,0.0068038265679547915
sangre,0.006782342777520235
salvadoreños,0.006769134475431051
ordenó,0.006717362255208662
peor,0.006717362255208662
habló,0.006704676025945122
calle,0.006679600521327448
rodríguez,0.006673392391169087
debate,0.006673392391169087
ciertas,0.006642706950650857
filas,0.0066185741704006575
máxima,0.006606642519566258
ven,0.006600709796932959
palabras,0.006594798925997901
martínez,0.006571370777875204
conocimiento,0.006565566794533989
éste,0.006548279737125788
ingreso,0.006548279737125788
cada,0.00652576539859365
legislación,0.0065198754620870445
condición,0.006514254441823301
alguien,0.006514254441823301
caso,0.006488982973464797
reunión,0.006486440926829736
hablar,0.006480935605325609
aspectos,0.006459101259741903
periodista,0.006459101259741903
cuentan,0.006453688776889225
facción,0.006448294487290538
salir,0.006416304066302265
realizada,0.0064110337835865455
diversos,0.006374618614953921
impuestos,0.006364364269235929
pago,0.006359261563364156
dieron,0.006354175030913713
llama,0.006323989821673102
ahí,0.006323989821673102
arrestados,0.006319013694757057
planes,0.006304177228733149
realmente,0.0062797505829548265
noticias,0.006271251652937228
enorme,0.006265271089437538
barrios,0.0062226003428044584
mujeres,0.0062132700860307
capturados,0.006181034863021573
explicó,0.006176482236863063
joaquín,0.006167415548087368
beneficios,0.006162901340765887
poderosa,0.0061583997960341684
chapo,0.0061494344115736056
cabeza,0.006144970431936974
permitido,0.0061184442140401335
oportunidad,0.006114065494694378
permitió,0.006109698690245919
propio,0.006105343736027624
tampoco,0.006088041146371278
representantes,0.00607945930963888
pequeña,0.00607945930963888
salvatrucha,0.006066671993817744
tierra,0.006033062395874039
27,0.006033062395874039
única,0.006033062395874039
pudo,0.006024768839200451
edad,0.006024768839200451
efectivo,0.006020638078503791
santa,0.006020638078503791
guzmán,0.006016517923109417
delincuencia,0.006012408318700711
convirtió,0.006008309211377275
mara,0.005992016689259941
trabajando,0.005940180144543301
fronteras,0.005936261217944752
pasó,0.005932351838070878
capos,0.005928451958521978
quizá,0.005916808862870339
confianza,0.005916808862870339
caída,0.005912946527324637
gracias,0.005897589475734872
distribución,0.005886167365988926
21,0.0058823779908053365
libre,0.0058785975423088915
22,0.005856099982582584
diferencia,0.0058449683797219395
soldados,0.005826585594014264
prisiones,0.005812029488372441
recibir,0.005797604225899621
hermano,0.005786869740092469
cuentas,0.005762098360691542
existen,0.005744635733057839
sabe,0.005744635733057839
100,0.0057411658946366515
federales,0.005737703542388314
movimiento,0.005734248644079536
diez,0.005730801167684763
cantidades,0.005710270401808619
conocidos,0.005700102682613256
cambios,0.005679958489523431
tarde,0.005669980428500035
creación,0.005669980428500035
décadas,0.005666668147355947
único,0.005640413170843106
ello,0.00555793495990772
camino,0.005533386876749548
25,0.005453204445513788
17,0.005438785663479691
libertad,0.0054188145657213015
casa,0.0054018920928030996
baja,0.005399088948606366
llevó,0.005390708774761277
iniciales,0.005387925079970319
área,0.005382372134483122
40,0.00536857325630541
venta,0.0053658276617185
central,0.005360350524509015
puesto,0.005357618949986358
deben,0.005344030387471832
resultados,0.005335932138270337
particular,0.005335932138270337
policiales,0.005309229365046337
11,0.005285570956553836
decir,0.005269990255093372
ciudades,0.00526740811512422
luis,0.00526740811512422
corte,0.005257120902688811
evitar,0.005226649107866777
conocida,0.0051746772683184915
amenaza,0.005169814235371091
dos,0.005168156167086418
mano,0.005164965894388512
acusados,0.0051457176918893125
carlos,0.005143327818559176
primeros,0.005129062838903084
dólares,0.0051079003391180265
cargamentos,0.005105566084677963
común,0.005091631412658029
dicho,0.005089320685628701
hoy,0.005084709189223847
relacionados,0.005061848408844236
ayuda,0.005021502158699305
pese,0.004999518258141855
mejor,0.004969238121235983
noviembre,0.004964958652981058
misma,0.004962823190730357
comenzó,0.004941623415534006
grande,0.004935317711371564
seguridad,0.004914757726253387
judicial,0.00491033978075797
autoridades,0.004896891833814845
sido,0.004862336807905508
interior,0.0048396323247952965
cargo,0.004829780853437119
ambos,0.0048238988689245504
